cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,19970,7,0.000350525788683,4.5,4.6,0.00013246307302904403
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,19970,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,18883,1,5.295768680824022e-05,4.6,4.7,5.2956284531378594e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,18883,3,0.0001588730604247,4.6,4.7,9.171811756591987e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,18883,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,17913,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,16678,0,0.0,4.8,4.9,0.0
